subID	 genre	 age	 group	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Condition_code	 Evaluation_Score	 Validation_Type	 Evaluation_Score_2	 Validation_Type_2	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Onset_Evaluation2	 End_Evaluation2	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Real_Time_Onset_Evaluation2	 Time_End_Evaluation2	 RT2
12	1	23	1	sarcasm	3	CNh3_5.wav	SPnegh4_5.wav	CN_SPneg	5	5	3	directvalide	4	valid	1.9799	1.0257	h3	h4	0	1	2.9799	3.9799	5.0056	6.0056	10.0056	10.0056	14.0056	0.021414	1.0058	2.9907	3.9921	5.0093	6.0104	7.8569	1.8465	10.0146	11.8086	1.794
12	1	23	1	sarcasm	3	CNf2_6.wav	SPnegf4_6.wav	CN_SPneg	6	5	4	valid	5	valid	2.5089	1.4518	f2	f4	14.0056	15.0056	17.5144	18.5144	19.9662	20.9662	24.9662	24.9662	28.9662	14.0187	15.0198	17.5218	18.5232	19.9743	20.9757	22.6249	1.6492	24.9797	26.4655	1.4858
12	1	23	1	sarcasm	3	CPh1_8.wav	SPnegf2_8.wav	CP_SPneg	8	4	1	valid	1	valid	1.4807	0.92735	h1	f2	28.9662	29.9662	31.4469	32.4469	33.3743	34.3743	38.3743	38.3743	42.3743	28.9836	29.968	31.4524	32.4537	33.3877	34.389	35.8487	1.4597	38.3763	39.0329	0.65658
12	1	23	1	sarcasm	3	CNf1_4.wav	SNnegf3_4.wav	CN_SNneg	4	1	1	valid	1	valid	1.5589	1.3582	f1	f3	42.3743	43.3743	44.9331	45.9331	47.2913	48.2913	52.2913	52.2913	56.2913	42.3803	43.3812	44.9492	45.9505	47.3015	48.3028	49.2488	0.946	52.3068	53.6249	1.3181
12	1	23	1	sarcasm	3	CNf2_1.wav	SPnegf4_1.wav	CN_SPneg	1	5	3	valid	2	valid	2.1269	1.1029	f2	f4	56.2913	57.2913	59.4182	60.4182	61.5211	62.5211	66.5211	66.5211	70.5211	56.294	57.2951	59.4304	60.4318	61.5323	62.5337	64.9884	2.4547	66.5377	67.9733	1.4356
12	1	23	1	sarcasm	3	CNf4_8.wav	SPnegf2_8.wav	CN_SPneg	8	5	3	valid	3	valid	2.4726	0.92735	f4	f2	70.5211	71.5211	73.9938	74.9938	75.9211	76.9211	80.9211	80.9211	84.9211	70.525	71.526	73.9947	74.9962	75.93	76.9314	79.3607	2.4294	80.9354	81.7928	0.85748
12	1	23	1	sarcasm	3	CPf2_1.wav	SNnegh1_1.wav	CP_SNneg	1	4	4	valid	1	valid	2.0871	0.97426	f2	h1	84.9211	85.9211	88.0082	89.0082	89.9825	90.9825	94.9825	94.9825	98.9825	84.9225	85.9236	88.0087	89.0101	89.994	90.9954	93.0408	2.0454	94.9994	95.5847	0.58525
12	1	23	1	sarcasm	3	CNf2_6.wav	SNnegh1_6.wav	CN_SNneg	6	1	1	valid	1	valid	2.5089	0.90676	f2	h1	98.9825	99.9825	102.4914	103.4914	104.3981	105.3981	109.3981	109.3981	113.3981	98.9869	99.9877	102.5065	103.5079	104.4083	105.4098	106.7766	1.3668	109.4139	110.5773	1.1634
12	1	23	1	sarcasm	3	CPf2_5.wav	SNposf3_5.wav	CP_SNpos	5	4	4	valid	4	valid	2.1539	1.1436	f2	f3	113.3981	114.3981	116.552	117.552	118.6956	119.6956	123.6956	123.6956	127.6956	113.4011	114.402	116.554	117.5552	118.706	119.7073	121.3292	1.6219	123.7114	124.2091	0.4977
12	1	23	1	sarcasm	3	CNh4_6.wav	SNposf4_6.wav	CN_SNpos	6	4	5	valid	5	valid	2.7529	1.185	h4	f4	127.6956	128.6956	131.4485	132.4485	133.6335	134.6335	138.6335	138.6335	142.6335	127.6986	128.6995	131.4522	132.4533	133.6375	134.6388	136.7449	2.106	138.6428	139.6571	1.0143
12	1	23	1	sarcasm	3	CPh3_8.wav	SNnegh2_8.wav	CP_SNneg	8	4	4	valid	5	valid	1.5807	0.92705	h3	h2	142.6335	143.6335	145.2142	146.2142	147.1413	148.1413	152.1413	152.1413	156.1413	142.6469	143.6478	145.2157	146.2172	147.151	148.1523	150.5289	2.3765	152.1563	152.7208	0.56443
12	1	23	1	sarcasm	3	CNf3_5.wav	SPposh1_5.wav	CN_SPpos	5	5	3	valid	4	valid	1.9773	0.81029	f3	h1	156.1413	157.1413	159.1186	160.1186	160.9289	161.9289	165.9289	165.9289	169.9289	156.1435	157.1445	159.1297	160.1309	160.9314	161.9327	163.609	1.6764	165.9367	166.9048	0.96815
12	1	23	1	sarcasm	3	CNf3_4.wav	SPnegf4_4.wav	CN_SPneg	4	5	5	valid	2	valid	2.0373	1.6621	f3	f4	169.9289	170.9289	172.9662	173.9662	175.6283	176.6283	180.6283	180.6283	184.6283	169.9408	170.9417	172.9767	173.9781	175.6293	176.6307	178.0489	1.4182	180.6347	183.4255	2.7908
12	1	23	1	sarcasm	3	CNh1_7.wav	SPposf2_7.wav	CN_SPpos	7	5	5	valid	1	valid	2.101	0.83592	h1	f2	184.6283	185.6283	187.7292	188.7292	189.5651	190.5651	194.5651	194.5651	198.5651	184.6387	185.6397	187.7414	188.7427	189.5768	190.5779	191.4263	0.84837	194.5819	195.5366	0.95471
12	1	23	1	sarcasm	3	CPh1_6.wav	SNposh3_6.wav	CP_SNpos	6	4	4	valid	4	directvalide	1.8135	0.95163	h1	h3	198.5651	199.5651	201.3786	202.3786	203.3303	204.3303	208.3303	208.3303	212.3303	198.5693	199.5702	201.3886	202.3897	203.3402	204.3419	206.0803	1.7385	208.3456	208.9842	0.63854
12	1	23	1	sarcasm	3	CPh4_5.wav	SPposh3_5.wav	CP_SPpos	5	1	2	valid	2	valid	2.2763	1.0121	h4	h3	212.3303	213.3303	215.6066	216.6066	217.6187	218.6187	222.6187	222.6187	226.6187	212.3328	213.3338	215.6192	216.6205	217.6214	218.6224	219.9848	1.3624	222.6266	223.6408	1.0142
12	1	23	1	sarcasm	3	CPh3_1.wav	SPnegf3_1.wav	CP_SPneg	1	4	1	valid	1	valid	2.0823	1.1436	h3	f3	226.6187	227.6187	229.701	230.701	231.8446	232.8446	236.8446	236.8446	240.8446	226.6307	227.6315	229.7168	230.7179	231.852	232.8533	233.4247	0.57138	236.8573	237.4937	0.63637
12	1	23	1	sarcasm	3	CNf3_1.wav	SPposh2_1.wav	CN_SPpos	1	5	4	valid	3	valid	2.1499	1.0206	f3	h2	240.8446	241.8446	243.9945	244.9945	246.0151	247.0151	251.0151	251.0151	255.0151	240.8616	241.8623	243.9973	244.9988	246.0161	247.0175	248.0966	1.079	251.0215	251.9123	0.8908
12	1	23	1	sarcasm	3	CNf3_6.wav	SPposh2_6.wav	CN_SPpos	6	5	4	directvalide	5	valid	2.4988	1.1263	f3	h2	255.0151	256.0151	258.5139	259.5139	260.6402	261.6402	265.6402	265.6402	269.6402	255.0259	256.0269	258.5286	259.5299	260.6473	261.6487	263.5687	1.92	265.6526	266.4386	0.78593
12	1	23	1	sarcasm	3	CPf4_3.wav	SNnegh2_3.wav	CP_SNneg	3	4	3	valid	4	valid	2.1392	1.1466	f4	h2	269.6402	270.6402	272.7794	273.7794	274.926	275.926	279.926	279.926	283.926	269.6567	270.6577	272.7927	273.7941	274.9282	275.9296	278.32	2.3903	279.9335	281.4078	1.4743
12	1	23	1	sarcasm	3	CNf4_3.wav	SPnegf1_3.wav	CN_SPneg	3	5	4	valid	5	valid	3.3344	1.1315	f4	f1	283.926	284.926	288.2604	289.2604	290.392	291.392	295.392	295.392	299.392	283.9376	284.9386	288.2748	289.2763	290.3937	291.395	292.584	1.1889	295.399	296.6399	1.2409
12	1	23	1	sarcasm	3	CPf1_5.wav	SPnegh3_5.wav	CP_SPneg	5	4	2	valid	3	valid	2.1397	0.76615	f1	h3	299.392	300.392	302.5317	303.5317	304.2978	305.2978	309.2978	309.2978	313.2978	299.403	300.4039	302.539	303.5404	304.3074	305.3089	307.7125	2.4036	309.3128	310.8576	1.5448
12	1	23	1	sarcasm	3	CPh3_4.wav	SPnegf4_4.wav	CP_SPneg	4	4	1	valid	1	valid	2.3227	1.6621	h3	f4	313.2978	314.2978	316.6205	317.6205	319.2826	320.2826	324.2826	324.2826	328.2826	313.3006	314.3012	316.6364	317.6378	319.2893	320.2909	320.8643	0.57342	324.2944	326.9282	2.6338
12	1	23	1	sarcasm	3	CNh3_2.wav	SPnegf4_2.wav	CN_SPneg	2	5	5	valid	4	directvalide	1.8451	1.9134	h3	f4	328.2826	329.2826	331.1277	332.1277	334.0411	335.0411	339.0411	339.0411	343.0411	328.299	329.2994	331.1343	332.1356	334.0538	335.0551	336.0248	0.96967	339.0591	339.8083	0.74918
12	1	23	1	sarcasm	3	CPh4_2.wav	SPnegf3_2.wav	CP_SPneg	2	4	1	valid	1	valid	1.8571	1.8634	h4	f3	343.0411	344.0411	345.8982	346.8982	348.7616	349.7616	353.7616	353.7616	357.7616	343.0465	344.0473	345.8988	346.9003	348.7684	349.7698	351.784	2.0141	353.7737	355.2556	1.4818
12	1	23	1	sarcasm	3	CPh1_2.wav	SNnegh3_2.wav	CP_SNneg	2	4	4	directvalide	4	valid	1.471	1.3186	h1	h3	357.7616	358.7616	360.2327	361.2327	362.5513	363.5513	367.5513	367.5513	371.5513	357.7778	358.7788	360.2465	361.2479	362.5655	363.5669	364.2561	0.68919	367.5541	369.0477	1.4936
12	1	23	1	sarcasm	3	CNf2_2.wav	SNposh4_2.wav	CN_SNpos	2	4	2	directvalide	1	valid	1.8091	1.1111	f2	h4	371.5513	372.5513	374.3603	375.3603	376.4715	377.4715	381.4715	381.4715	385.4715	371.5585	372.5596	374.3773	375.3619	376.4795	377.4812	379.1194	1.6383	381.4847	382.4716	0.98694
12	1	23	1	sarcasm	3	CPf2_7.wav	SNposf3_7.wav	CP_SNpos	7	4	4	valid	2	valid	1.8314	1.2103	f2	f3	385.4715	386.4715	388.3028	389.3028	390.5132	391.5132	395.5132	395.5132	399.5132	385.4888	386.4729	388.3078	389.3093	390.5266	391.5281	392.7767	1.2486	395.5153	396.0954	0.58005
