"";"ID";"run";"cond";"pros";"sem";"sentenceType";"voice";"voiceGender";"sentenceNb";"stimuli";"scoreV";"scoreA";"scoreVnv";"scoreAnv"
"5624";"20";"4";"cp";"m";"p";"context";"f1";"f";"13";"CPf1_13.wav";3;2;"3";"2"
"5625";"20";"4";"sn";"p";"n";"statement";"h4";"h";"4";"SNposh4_4.wav";NA;NA;"3";"4"
"5626";"20";"4";"sp";"p";"p";"statement";"h3";"h";"8";"SPposh3_8.wav";5;5;"5";"5"
"5627";"20";"4";"cn";"m";"n";"context";"h4";"h";"4";"CNh4_4.wav";2;3;"2";"3"
"5628";"20";"4";"cn";"m";"n";"context";"h2";"h";"11";"CNh2_11.wav";2;2;"2";"2"
"5629";"20";"4";"sp";"m";"p";"statement";"h4";"h";"2";"SPmonh4_2.wav";3;3;"3";"3"
"5630";"20";"4";"cn";"m";"n";"context";"h3";"h";"7";"CNh3_7.wav";3;NA;"3";"1"
"5631";"20";"4";"cp";"m";"p";"context";"h2";"h";"9";"CPh2_9.wav";3;3;"3";"3"
"5632";"20";"4";"sn";"n";"n";"statement";"f3";"f";"6";"SNnegf3_6.wav";NA;3;"NaN";"3"
"5633";"20";"4";"sn";"n";"n";"statement";"h3";"h";"8";"SNnegh3_8.wav";3;4;"3";"4"
"5634";"20";"4";"spseudo";"m";"pseudo";"statement";"f4";"f";"4";"Spseudomonf4_4.wav";2;3;"2";"3"
"5635";"20";"4";"sp";"n";"p";"statement";"h1";"h";"16";"SPnegh1_16.wav";4;5;"4";"5"
"5636";"20";"4";"sn";"n";"n";"statement";"f1";"f";"15";"SNnegf1_15.wav";3;4;"3";"4"
"5637";"20";"4";"sn";"m";"n";"statement";"h3";"h";"8";"SNmonh3_8.wav";3;3;"3";"3"
"5638";"20";"4";"sn";"m";"n";"statement";"h2";"h";"9";"SNmonh2_9.wav";3;3;"3";"3"
"5639";"20";"4";"cpseudo";"m";"pseudo";"context";"f4";"f";"1";"Cpseudof4_1.wav";3;3;"3";"3"
"5640";"20";"4";"cn";"m";"n";"context";"f1";"f";"16";"CNf1_16.wav";3;4;"3";"4"
"5641";"20";"4";"sp";"p";"p";"statement";"f1";"f";"16";"SPposf1_16.wav";NA;4;"3";"4"
"5642";"20";"4";"sp";"p";"p";"statement";"h4";"h";"2";"SPposh4_2.wav";4;4;"4";"4"
"5643";"20";"4";"cp";"m";"p";"context";"f3";"f";"7";"CPf3_7.wav";3;3;"3";"3"
"5644";"20";"4";"sn";"m";"n";"statement";"f4";"f";"2";"SNmonf4_2.wav";3;3;"3";"3"
"5645";"20";"4";"sp";"n";"p";"statement";"f1";"f";"14";"SPnegf1_14.wav";3;NA;"3";"3"
"5646";"20";"4";"sn";"m";"n";"statement";"f3";"f";"8";"SNmonf3_8.wav";3;3;"3";"3"
"5647";"20";"4";"spseudo";"m";"pseudo";"statement";"h4";"h";"2";"Spseudomonh4_2.wav";3;NA;"3";"4"
"5648";"20";"4";"sp";"m";"p";"statement";"f4";"f";"1";"SPmonf4_1.wav";3;3;"3";"3"
"5649";"20";"4";"sn";"p";"n";"statement";"f2";"f";"9";"SNposf2_9.wav";4;2;"4";"2"
"5650";"20";"4";"sn";"m";"n";"statement";"h4";"h";"4";"SNmonh4_4.wav";3;NA;"3";"1"
"5651";"20";"4";"cn";"m";"n";"context";"h1";"h";"13";"CNh1_13.wav";3;3;"3";"3"
"5652";"20";"4";"sp";"n";"p";"statement";"f3";"f";"6";"SPnegf3_6.wav";3;3;"3";"3"
"5653";"20";"4";"sp";"m";"p";"statement";"f2";"f";"9";"SPmonf2_9.wav";NA;3;"3";"3"
"5654";"20";"4";"sp";"n";"p";"statement";"f3";"f";"5";"SPnegf3_5.wav";NA;1;"3";"1"
"5655";"20";"4";"sp";"n";"p";"statement";"h2";"h";"12";"SPnegh2_12.wav";3;3;"3";"3"
"5656";"20";"4";"sp";"p";"p";"statement";"f4";"f";"1";"SPposf4_1.wav";4;3;"4";"3"
"5657";"20";"4";"sn";"p";"n";"statement";"h2";"h";"12";"SNposh2_12.wav";5;4;"5";"4"
"5658";"20";"4";"sn";"n";"n";"statement";"h1";"h";"15";"SNnegh1_15.wav";2;2;"2";"2"
"5659";"20";"4";"cp";"m";"p";"context";"h2";"h";"11";"CPh2_11.wav";3;3;"3";"3"
"5660";"20";"4";"spseudo";"p";"pseudo";"statement";"f4";"f";"1";"Spseudoposf4_1.wav";4;3;"4";"3"
"5661";"20";"4";"sp";"m";"p";"statement";"h1";"h";"15";"SPmonh1_15.wav";3;2;"3";"2"
"5662";"20";"4";"sp";"m";"p";"statement";"h2";"h";"11";"SPmonh2_11.wav";3;3;"3";"3"
"5663";"20";"4";"sn";"m";"n";"statement";"f1";"f";"16";"SNmonf1_16.wav";3;NA;"3";"2"
"5664";"20";"4";"sp";"p";"p";"statement";"h4";"h";"4";"SPposh4_4.wav";4;NA;"4";"2"
"5665";"20";"5";"sn";"p";"n";"statement";"h2";"h";"11";"SNposh2_11.wav";4;3;"4";"3"
"5666";"20";"5";"sp";"p";"p";"statement";"h1";"h";"14";"SPposh1_14.wav";3;5;"3";"5"
"5667";"20";"5";"sp";"p";"p";"statement";"f3";"f";"8";"SPposf3_8.wav";NA;NA;"5";"2"
"5668";"20";"5";"sn";"p";"n";"statement";"f3";"f";"6";"SNposf3_6.wav";4;3;"4";"3"
"5669";"20";"5";"sn";"p";"n";"statement";"h1";"h";"14";"SNposh1_14.wav";2;NA;"2";"4"
"5670";"20";"5";"cn";"m";"n";"context";"h1";"h";"16";"CNh1_16.wav";3;3;"3";"3"
"5671";"20";"5";"cp";"m";"p";"context";"f4";"f";"3";"CPf4_3.wav";3;2;"3";"2"
"5672";"20";"5";"sn";"m";"n";"statement";"f2";"f";"9";"SNmonf2_9.wav";3;3;"3";"3"
"5673";"20";"5";"sn";"n";"n";"statement";"f2";"f";"11";"SNnegf2_11.wav";3;4;"3";"4"
"5674";"20";"5";"sn";"m";"n";"statement";"h4";"h";"2";"SNmonh4_2.wav";3;NA;"3";"4"
"5675";"20";"5";"sp";"n";"p";"statement";"h4";"h";"2";"SPnegh4_2.wav";2;2;"2";"2"
"5676";"20";"5";"sp";"n";"p";"statement";"f1";"f";"15";"SPnegf1_15.wav";4;2;"4";"2"
"5677";"20";"5";"spseudo";"p";"pseudo";"statement";"h4";"h";"4";"Spseudoposh4_4.wav";4;4;"4";"4"
"5678";"20";"5";"cn";"m";"n";"context";"h2";"h";"10";"CNh2_10.wav";NA;3;"2";"3"
"5679";"20";"5";"sn";"p";"n";"statement";"h2";"h";"9";"SNposh2_9.wav";5;4;"5";"4"
"5680";"20";"5";"sn";"n";"n";"statement";"h1";"h";"14";"SNnegh1_14.wav";2;4;"2";"4"
"5681";"20";"5";"sn";"m";"n";"statement";"f3";"f";"7";"SNmonf3_7.wav";2;NA;"2";"1"
"5682";"20";"5";"cp";"m";"p";"context";"h3";"h";"6";"CPh3_6.wav";3;3;"3";"3"
"5683";"20";"5";"cn";"m";"n";"context";"f4";"f";"3";"CNf4_3.wav";3;3;"3";"3"
"5684";"20";"5";"sn";"m";"n";"statement";"h1";"h";"16";"SNmonh1_16.wav";2;NA;"2";"3"
"5685";"20";"5";"sn";"p";"n";"statement";"f1";"f";"14";"SNposf1_14.wav";5;4;"5";"4"
"5686";"20";"5";"cn";"m";"n";"context";"h4";"h";"1";"CNh4_1.wav";3;3;"3";"3"
"5687";"20";"5";"sn";"p";"n";"statement";"h2";"h";"10";"SNposh2_10.wav";4;4;"4";"4"
"5688";"20";"5";"sn";"m";"n";"statement";"h4";"h";"3";"SNmonh4_3.wav";NA;3;"3";"3"
"5689";"20";"5";"sp";"m";"p";"statement";"f2";"f";"9";"SPmonf2_9.wav";3;3;"3";"3"
"5690";"20";"5";"cn";"m";"n";"context";"h2";"h";"9";"CNh2_9.wav";3;3;"3";"3"
"5691";"20";"5";"sp";"m";"p";"statement";"h3";"h";"8";"SPmonh3_8.wav";3;3;"3";"3"
