subID	 genre	 age	 group	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Condition_code	 Evaluation_Score	 Validation_Type	 Evaluation_Score_2	 Validation_Type_2	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Onset_Evaluation2	 End_Evaluation2	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Real_Time_Onset_Evaluation2	 Time_End_Evaluation2	 RT2
15	2	25	2	prosody	3	CNh1_16.wav	SNposh2_16.wav	CN_SNpos	16	4	4	valid	NaN	NaN	1.5868	0.64651	h1	h2	0	1	2.5868	3.5868	4.2333	5.2333	9.2333	NaN	NaN	0.0061542	1.0075	2.592	3.5935	4.2437	5.2451	6.5236	1.2785	NaN	NaN	NaN
15	2	25	2	prosody	3	CPf3_12.wav	SNnegf1_12.wav	CP_SNneg	12	4	2	valid	NaN	NaN	1.8798	0.76739	f3	f1	9.2333	10.2333	12.1131	13.1131	13.8805	14.8805	18.8805	NaN	NaN	9.2491	10.2501	12.1182	13.1196	13.8867	14.8881	15.9802	1.0922	NaN	NaN	NaN
15	2	25	2	prosody	3	CNf4_15.wav	SPnegf2_15.wav	CN_SPneg	15	5	2	nonvalid	NaN	NaN	2.2631	0.80399	f4	f2	18.8805	19.8805	22.1435	23.1435	23.9475	24.9475	28.9475	NaN	NaN	18.8921	19.8931	22.1449	23.1463	23.9634	24.9648	NaN	NaN	NaN	NaN	NaN
15	2	25	2	prosody	3	CPh1_10.wav	SNposf2_10.wav	CP_SNpos	10	4	4	valid	NaN	NaN	1.5489	0.85333	h1	f2	28.9475	29.9475	31.4964	32.4964	33.3498	34.3498	38.3498	NaN	NaN	28.9684	29.9532	31.5044	32.5056	33.3562	34.3577	35.4837	1.126	NaN	NaN	NaN
15	2	25	2	prosody	3	CPh1_9.wav	SPnegh4_9.wav	CP_SPneg	9	4	1	valid	NaN	NaN	1.6736	1.2318	h1	h4	38.3498	39.3498	41.0234	42.0234	43.2552	44.2552	48.2552	NaN	NaN	38.3616	39.3626	41.0306	42.0318	43.2661	44.2676	45.272	1.0044	NaN	NaN	NaN
15	2	25	2	prosody	3	CPh3_11.wav	SPposf1_11.wav	CP_SPpos	11	1	5	valid	NaN	NaN	2.3025	1.1195	h3	f1	48.2552	49.2552	51.5577	52.5577	53.6772	54.6772	58.6772	NaN	NaN	48.2715	49.2725	51.5744	52.5591	53.6932	54.6946	55.3321	0.63747	NaN	NaN	NaN
15	2	25	2	prosody	3	CNh3_14.wav	SPnegf3_14.wav	CN_SPneg	14	5	3	valid	NaN	NaN	1.8912	1.071	h3	f3	58.6772	59.6772	61.5683	62.5683	63.6394	64.6394	68.6394	NaN	NaN	58.6819	59.683	61.5844	62.5859	63.6532	64.6546	65.4286	0.77404	NaN	NaN	NaN
15	2	25	2	prosody	3	CPf4_14.wav	SNnegf3_14.wav	CP_SNneg	14	4	2	valid	NaN	NaN	2.4675	1.1576	f4	f3	68.6394	69.6394	72.1068	73.1068	74.2644	75.2644	79.2644	NaN	NaN	68.6419	69.6429	72.1117	73.1129	74.2805	75.2819	76.8681	1.5862	NaN	NaN	NaN
15	2	25	2	prosody	3	CNh2_11.wav	SNnegf2_11.wav	CN_SNneg	11	1	3	valid	NaN	NaN	2.2526	0.90413	h2	f2	79.2644	80.2644	82.517	83.517	84.4211	85.4211	89.4211	NaN	NaN	79.2692	80.2702	82.5223	83.5235	84.424	85.4254	86.9326	1.5072	NaN	NaN	NaN
15	2	25	2	prosody	3	CNh1_14.wav	SPposf3_14.wav	CN_SPpos	14	5	4	valid	NaN	NaN	1.9124	1.042	h1	f3	89.4211	90.4211	92.3335	93.3335	94.3755	95.3755	99.3755	NaN	NaN	89.4294	90.4304	92.3486	93.3497	94.3839	95.3854	96.1801	0.79478	NaN	NaN	NaN
