subID	 genre	 age	 group	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Condition_code	 Evaluation_Score	 Validation_Type	 Evaluation_Score_2	 Validation_Type_2	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Onset_Evaluation2	 End_Evaluation2	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Real_Time_Onset_Evaluation2	 Time_End_Evaluation2	 RT2
6	1	23	1	semantic	2	CPh2_15.wav	SPposh3_15.wav	CP_SPpos	15	1	5	directvalide	NaN	NaN	1.6427	1.1492	h2	h3	0	1	2.6427	3.6427	4.7919	5.7919	9.7919	NaN	NaN	0.0025667	1.0207	2.6553	3.6567	4.8075	5.8088	6.6696	0.86085	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf3_12.wav	SNnegh3_12.wav	CN_SNneg	12	1	3	valid	NaN	NaN	1.9961	0.88308	f3	h3	9.7919	10.7919	12.788	13.788	14.671	15.671	19.671	NaN	NaN	9.7962	10.8138	12.7988	13.8002	14.6839	15.6853	17.638	1.9526	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf2_12.wav	SPnegh4_12.wav	CP_SPneg	12	4	5	valid	NaN	NaN	1.8493	1.0407	f2	h4	19.671	20.671	22.5203	23.5203	24.5611	25.5611	29.5611	NaN	NaN	19.6893	20.6736	22.525	23.5264	24.5771	25.5785	26.6698	1.0913	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf2_12.wav	SPposh3_12.wav	CP_SPpos	12	1	5	valid	NaN	NaN	1.8493	1.0081	f2	h3	29.5611	30.5611	32.4103	33.4103	34.4184	35.4184	39.4184	NaN	NaN	29.5659	30.5668	32.4183	33.4196	34.4203	35.4216	36.4618	1.0402	NaN	NaN	NaN
6	1	23	1	semantic	2	CNh3_15.wav	SPposf3_15.wav	CN_SPpos	15	5	3	valid	NaN	NaN	2.0439	1.0623	h3	f3	39.4184	40.4184	42.4624	43.4624	44.5247	45.5247	49.5247	NaN	NaN	39.4257	40.4266	42.4783	43.4797	44.5303	45.5318	47.5693	2.0375	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf3_11.wav	SNnegh1_11.wav	CP_SNneg	11	4	1	valid	NaN	NaN	2.5626	0.76687	f3	h1	49.5247	50.5247	53.0873	54.0873	54.8541	55.8541	59.8541	NaN	NaN	49.5357	50.5367	53.0887	54.0902	54.8572	55.8587	57.3895	1.5308	NaN	NaN	NaN
6	1	23	1	semantic	2	CNh4_10.wav	SNnegf1_10.wav	CN_SNneg	10	1	1	valid	NaN	NaN	2.1066	0.8607	h4	f1	59.8541	60.8541	62.9608	63.9608	64.8215	65.8215	69.8215	NaN	NaN	59.8626	60.8636	62.9653	63.9667	64.8338	65.8353	66.9178	1.0825	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf4_14.wav	SPnegf3_14.wav	CN_SPneg	14	5	3	valid	NaN	NaN	2.3239	1.071	f4	f3	69.8215	70.8215	73.1453	74.1453	75.2163	76.2163	80.2163	NaN	NaN	69.8392	70.8235	73.1591	74.1602	75.2275	76.2291	77.3975	1.1684	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf4_16.wav	SNnegh3_16.wav	CN_SNneg	16	1	1	valid	NaN	NaN	2.1648	0.80245	f4	h3	80.2163	81.2163	83.3812	84.3812	85.1836	86.1836	90.1836	NaN	NaN	80.2329	81.2339	83.3856	84.387	85.1875	86.1888	87.1417	0.95293	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf2_9.wav	SNposh1_9.wav	CN_SNpos	9	4	2	directvalide	NaN	NaN	2.2949	0.95016	f2	h1	90.1836	91.1836	93.4786	94.4786	95.4287	96.4287	100.4287	NaN	NaN	90.1928	91.1939	93.4956	94.4803	95.431	96.4323	97.9259	1.4935	NaN	NaN	NaN
6	1	23	1	semantic	2	CNh4_15.wav	SNnegf3_15.wav	CN_SNneg	15	1	1	valid	NaN	NaN	2.2213	1.0843	h4	f3	100.4287	101.4287	103.65	104.65	105.7343	106.7343	110.7343	NaN	NaN	100.4363	101.4373	103.6559	104.657	105.7415	106.7426	107.7818	1.0392	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf2_16.wav	SNposf1_16.wav	CN_SNpos	16	4	1	valid	NaN	NaN	1.9283	0.74934	f2	f1	110.7343	111.7343	113.6626	114.6626	115.4119	116.4119	120.4119	NaN	NaN	110.7466	111.7475	113.6658	114.6672	115.4174	116.4189	117.5336	1.1147	NaN	NaN	NaN
6	1	23	1	semantic	2	CPh3_14.wav	SPposf4_14.wav	CP_SPpos	14	1	5	valid	NaN	NaN	2.0404	1.2568	h3	f4	120.4119	121.4119	123.4523	124.4523	125.7091	126.7091	130.7091	NaN	NaN	120.4228	121.4237	123.4587	124.4599	125.7112	126.7125	128.4215	1.7091	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf4_12.wav	SNposh1_12.wav	CP_SNpos	12	4	1	valid	NaN	NaN	2.2631	0.77653	f4	h1	130.7091	131.7091	133.9722	134.9722	135.7487	136.7487	140.7487	NaN	NaN	130.7164	131.7172	133.986	134.9874	135.7545	136.7557	138.3175	1.5617	NaN	NaN	NaN
6	1	23	1	semantic	2	CNh4_12.wav	SPnegf1_12.wav	CN_SPneg	12	5	5	valid	NaN	NaN	2.6791	0.9871	h4	f1	140.7487	141.7487	144.4278	145.4278	146.4149	147.4149	151.4149	NaN	NaN	140.7599	141.7608	144.4299	145.4311	146.4317	147.4331	147.9661	0.53295	NaN	NaN	NaN
6	1	23	1	semantic	2	CNh2_10.wav	SPposf3_10.wav	CN_SPpos	10	5	5	directvalide	NaN	NaN	2.0737	0.9346	h2	f3	151.4149	152.4149	154.4886	155.4886	156.4232	157.4232	161.4232	NaN	NaN	151.4204	152.4214	154.5067	155.4913	156.4249	157.4264	157.9331	0.5067	NaN	NaN	NaN
6	1	23	1	semantic	2	CNh1_12.wav	SPposh4_12.wav	CN_SPpos	12	5	5	valid	NaN	NaN	1.8513	0.87986	h1	h4	161.4232	162.4232	164.2745	165.2745	166.1543	167.1543	171.1543	NaN	NaN	161.4304	162.4313	164.2831	165.2843	166.1681	167.1697	168.0888	0.9191	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf3_16.wav	SNposf1_16.wav	CP_SNpos	16	4	1	valid	NaN	NaN	2.0749	0.74934	f3	f1	171.1543	172.1543	174.2292	175.2292	175.9785	176.9785	180.9785	NaN	NaN	171.1567	172.1577	174.2427	175.2443	175.9944	176.9958	177.9092	0.91342	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf3_15.wav	SPnegh3_15.wav	CN_SPneg	15	5	4	valid	NaN	NaN	2.2024	1.1976	f3	h3	180.9785	181.9785	184.1809	185.1809	186.3786	187.3786	191.3786	NaN	NaN	180.9833	181.9845	184.1859	185.1875	186.3883	187.3897	188.9971	1.6073	NaN	NaN	NaN
6	1	23	1	semantic	2	CPh2_10.wav	SPnegf2_10.wav	CP_SPneg	10	4	4	valid	NaN	NaN	1.7423	0.86349	h2	f2	191.3786	192.3786	194.1209	195.1209	195.9844	196.9844	200.9844	NaN	NaN	191.3935	192.3945	194.1293	195.1305	195.9978	196.9995	198.3568	1.3573	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf1_14.wav	SPposf3_14.wav	CN_SPpos	14	5	4	valid	NaN	NaN	2.0283	1.042	f1	f3	200.9844	201.9844	204.0127	205.0127	206.0547	207.0547	211.0547	NaN	NaN	200.9863	201.9874	204.0223	205.0239	206.0578	207.0591	209.6772	2.6181	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf3_14.wav	SNposh4_14.wav	CP_SNpos	14	4	2	valid	NaN	NaN	2.2174	1.0961	f3	h4	211.0547	212.0547	214.2721	215.2721	216.3682	217.3682	221.3682	NaN	NaN	211.0631	212.0644	214.2825	215.2842	216.3846	217.386	218.2954	0.90935	NaN	NaN	NaN
6	1	23	1	semantic	2	CPh2_11.wav	SNposh4_11.wav	CP_SNpos	11	4	2	valid	NaN	NaN	2.4152	1.0106	h2	h4	221.3682	222.3682	224.7834	225.7834	226.794	227.794	231.794	NaN	NaN	221.3735	222.3747	224.7929	225.7947	226.8117	227.7964	230.2529	2.4565	NaN	NaN	NaN
6	1	23	1	semantic	2	CPh3_16.wav	SPposf2_16.wav	CP_SPpos	16	1	5	valid	NaN	NaN	1.9799	0.70095	h3	f2	231.794	232.794	234.7739	235.7739	236.4749	237.4749	241.4749	NaN	NaN	231.8004	232.8014	234.7865	235.7876	236.4879	237.4895	238.2423	0.75284	NaN	NaN	NaN
6	1	23	1	semantic	2	CPh3_11.wav	SPposf1_11.wav	CP_SPpos	11	1	3	valid	NaN	NaN	2.3025	1.1195	h3	f1	241.4749	242.4749	244.7774	245.7774	246.8969	247.8969	251.8969	NaN	NaN	241.4765	242.4777	244.7797	245.7809	246.8985	247.8997	248.893	0.99328	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf1_13.wav	SPnegh4_13.wav	CP_SPneg	13	4	4	valid	NaN	NaN	1.7154	1.1212	f1	h4	251.8969	252.8969	254.6123	255.6123	256.7335	257.7335	261.7335	NaN	NaN	251.9041	252.9048	254.6227	255.6245	256.7414	257.7429	259.1965	1.4537	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf1_11.wav	SNposh2_11.wav	CN_SNpos	11	4	2	valid	NaN	NaN	2.1186	0.85794	f1	h2	261.7335	262.7335	264.8521	265.8521	266.71	267.71	271.71	NaN	NaN	261.7473	262.7478	264.8662	265.8676	266.7181	267.7193	270.0288	2.3094	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf1_9.wav	SNposh1_9.wav	CP_SNpos	9	4	1	valid	NaN	NaN	1.917	0.95016	f1	h1	271.71	272.71	274.627	275.627	276.5772	277.5772	281.5772	NaN	NaN	271.7232	272.7243	274.6426	275.6445	276.5945	277.5795	278.6687	1.0892	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf1_9.wav	SPposh3_9.wav	CN_SPpos	9	5	5	valid	NaN	NaN	2.1994	1.3226	f1	h3	281.5772	282.5772	284.7766	285.7766	287.0992	288.0992	292.0992	NaN	NaN	281.5839	282.5842	284.7861	285.7877	287.1051	288.1064	289.5936	1.4872	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf3_10.wav	SPposh2_10.wav	CP_SPpos	10	1	4	valid	NaN	NaN	1.7297	0.85794	f3	h2	292.0992	293.0992	294.8288	295.8288	296.6868	297.6868	301.6868	NaN	NaN	292.1104	293.1114	294.846	295.8306	296.6978	297.6992	300.3963	2.697	NaN	NaN	NaN
6	1	23	1	semantic	2	CPh4_11.wav	SPnegf4_11.wav	CP_SPneg	11	4	3	valid	NaN	NaN	3.026	1.1901	h4	f4	301.6868	302.6868	305.7128	306.7128	307.9029	308.9029	312.9029	NaN	NaN	301.7033	302.7048	305.7235	306.7248	307.909	308.9104	310.1485	1.238	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf3_9.wav	SNnegh1_9.wav	CN_SNneg	9	1	1	valid	NaN	NaN	2.4237	1.0707	f3	h1	312.9029	313.9029	316.3266	317.3266	318.3973	319.3973	323.3973	NaN	NaN	312.9145	313.9158	316.3341	317.3356	318.4028	319.4043	319.8925	0.48813	NaN	NaN	NaN
6	1	23	1	semantic	2	CNf2_10.wav	SNposh3_10.wav	CN_SNpos	10	4	1	valid	NaN	NaN	2.023	0.81857	f2	h3	323.3973	324.3973	326.4203	327.4203	328.2389	329.2389	333.2389	NaN	NaN	323.4082	324.4093	326.4275	327.4291	328.2459	329.2473	329.9325	0.68513	NaN	NaN	NaN
6	1	23	1	semantic	2	CPf4_16.wav	SPnegh3_16.wav	CP_SPneg	16	4	5	valid	NaN	NaN	2.2631	0.79438	f4	h3	333.2389	334.2389	336.502	337.502	338.2963	339.2963	343.2963	NaN	NaN	333.2514	334.2523	336.5043	337.5054	338.306	339.3073	339.8215	0.51413	NaN	NaN	NaN
6	1	23	1	semantic	2	CNh1_13.wav	SNnegf2_13.wav	CN_SNneg	13	1	2	valid	NaN	NaN	1.881	0.90268	h1	f2	343.2963	344.2963	346.1774	347.1774	348.08	349.08	353.08	NaN	NaN	343.3118	344.3123	346.1806	347.1823	348.0824	349.0843	350.244	1.1596	NaN	NaN	NaN
6	1	23	1	semantic	2	CPh3_15.wav	SPnegf2_15.wav	CP_SPneg	15	4	4	valid	NaN	NaN	1.4517	0.80399	h3	f2	353.08	354.08	355.5317	356.5317	357.3357	358.3357	362.3357	NaN	NaN	353.0877	354.0887	355.5398	356.5418	357.3415	358.343	359.2762	0.93324	NaN	NaN	NaN
6	1	23	1	semantic	2	CPh3_12.wav	SNnegf2_12.wav	CP_SNneg	12	4	1	valid	NaN	NaN	1.9436	0.83299	h3	f2	362.3357	363.3357	365.2793	366.2793	367.1123	368.1123	372.1123	NaN	NaN	362.3472	363.3479	365.2829	366.2842	367.1179	368.1193	368.8692	0.74991	NaN	NaN	NaN
