ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
-0.427388	0.225568	0.137295	-0.598068	-1.78153	-1.0386	-0.177468	-0.754319	-1.15741	-0.0810528	-0.154795	-0.45442	-0.892889	-0.853729	-0.779936	0.0102005	-0.983962	-1.7355	-1.23058	-1.76782	
-1.94857	-1.36267	-0.0410964	-0.92051	-0.690096	0.348886	-0.501476	-0.99468	0.113192	-0.0987696	-0.740382	0.235422	1.28812	2.09954	1.6728	0.963829	0.611438	0.301177	-1.12255	0.330534	
-0.610792	-0.765638	-0.50424	-0.751441	0.551038	0.900684	1.23222	1.0042	1.50248	1.32891	0.571427	0.501802	-0.310596	0.696762	0.965155	0.425862	0.0422367	-0.0840528	0.378214	0.0591076	
0.817262	0.726924	1.08606	1.07129	1.37978	1.20137	0.999228	0.502135	0.869247	0.679333	0.901071	0.873358	0.766332	0.581494	0.876025	0.542734	0.881052	0.731397	1.03764	1.05356	
0.608945	0.654542	0.0489837	-0.0851414	-0.245501	1.11179	0.172499	-0.35325	0.256503	-1.14173	-0.0327682	-0.877884	-0.842566	0.21923	2.22396	-1.05559	0.571006	1.13257	0.282237	-0.746955	
-0.439183	-0.501114	-0.447602	0.166888	0.476784	-0.505112	-0.407901	-0.600605	0.228806	-0.0817449	-0.0557304	-0.00482742	0.037553	0.142787	-0.20744	-0.628721	-0.650797	-0.0581674	-0.0309943	0.0648087	
-1.72011	-1.56337	-1.24479	-2.09814	-1.53019	-1.19968	-1.66203	-1.47375	-0.965756	-0.199452	-0.676858	-0.441994	-0.556063	-0.335575	-0.70395	-1.48105	0.117088	0.391039	0.290119	-0.731007	
1.16146	1.07199	0.478315	0.979618	0.421573	0.786669	0.917805	1.91221	-0.404544	-0.414428	0.312501	-2.10362	-1.7786	-0.462336	-0.295096	-4.53018	-0.167214	1.21824	1.14651	-0.324707	
-0.259908	-0.579477	-0.518587	-0.487629	-0.491009	0.0523993	-0.49432	0.0692747	-0.324234	0.403824	-0.124079	-0.112588	-0.125198	0.20709	0.962721	0.05214	-0.541391	-0.580826	-0.617094	-0.668559	
0.195384	0.515625	-0.351217	-0.286687	-0.264032	-0.225865	-0.285075	-0.861633	0.11141	0.141855	-0.510426	-1.14411	-0.693535	-0.682387	-0.135478	-0.872754	-0.443616	0.77616	-0.177492	-0.478987	
