ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
-0.0256627	0.343278	1.47273	0.5812	2.51584	2.2376	1.83906	2.32422	2.49028	2.7671	2.62865	1.57939	-0.149096	2.13331	1.18302	1.94078	-0.262944	0.119574	0.359821	1.09624	
1.67104	1.41244	0.694068	0.688426	-0.423534	-0.575761	-0.428026	-0.104135	1.58396	1.50791	1.74384	1.18373	-0.267365	-0.31679	0.37138	0.162073	0.367036	1.05261	1.22355	0.689876	
-0.990169	0.289485	-0.456014	-0.823705	1.06124	2.54747	1.66283	1.05684	1.85471	0.219998	0.889562	-0.270231	0.268333	1.22373	2.29002	0.208566	-0.895336	-0.116081	-0.845781	-2.11369	
1.07609	1.61917	1.42362	0.621664	1.67045	1.05452	-0.77536	1.38733	2.48997	1.72315	2.48889	2.07809	3.63805	3.50347	3.36656	3.26837	3.73337	3.23493	3.47473	3.32643	
1.63079	2.34761	1.57289	0.376853	0.303763	1.2807	1.94028	0.0824642	1.70994	1.71403	1.8869	2.46537	0.867547	2.04642	1.69394	-0.903296	0.960632	2.20205	1.93116	0.0747663	
-2.35003	1.41981	0.0750872	-0.0676047	1.56078	1.70052	1.32607	-0.320873	1.16214	1.96624	2.1445	0.479627	2.34112	2.38558	2.23987	2.51934	-2.02558	-0.405951	0.181898	-1.73805	
0.485672	1.64788	1.03158	-0.355069	2.83425	2.72126	1.57143	0.899884	0.122987	0.722296	-0.0757683	-0.43962	0.213657	0.761241	1.02378	0.172168	-0.803792	-0.394431	-0.325936	-0.240297	
2.22301	1.83236	-0.00889242	0.443718	0.574517	1.50288	1.31954	0.215967	0.0173858	2.30505	0.954524	0.374781	0.9818	0.549178	0.820937	0.156286	-0.157825	1.70856	1.40932	-0.731598	
0.471577	3.14292	3.93361	1.90813	3.02768	3.39222	2.63677	1.21228	1.31049	3.15596	2.51695	1.2167	1.95221	3.55199	1.90462	0.280717	0.947608	3.39234	1.98943	0.755173	
0.976601	1.87841	1.51346	1.03414	1.85149	1.44771	0.776845	-0.589596	-0.0276201	2.00631	0.353695	1.02504	0.369298	1.95123	0.900357	-0.228191	-0.127287	1.3849	1.78389	-0.474291	
