ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
0.214631	0.241955	1.26447	0.115062	-0.305469	0.0659074	0.101091	-0.917274	0.203866	0.623811	-0.307311	-0.933386	0.615548	1.7755	1.1261	1.05609	1.37076	1.36622	0.47325	0.349837	
-1.59351	-1.05009	-1.78567	-0.892993	0.659751	1.15915	0.749531	-0.208223	1.95876	1.50197	1.48849	1.75489	0.616884	0.757758	1.39985	0.628057	1.05312	0.20707	1.25766	0.136498	
-2.13709	-1.14646	-0.930688	-1.35154	0.0666689	1.37309	0.637658	0.59688	-0.572297	-0.27977	-0.303911	-0.860457	-0.195555	0.276382	0.611801	0.575357	-0.183662	-0.188367	-0.0641817	0.0547833	
0.770192	1.19939	1.46958	0.402599	-1.45784	-1.26067	-2.35553	-1.5687	-0.0660341	-0.307622	-0.584657	-0.253971	-1.23852	-0.713926	-0.190496	-1.83752	2.29621	1.91469	1.53093	0.731712	
-1.5801	-1.73057	-0.666649	-0.964333	-1.11318	-1.64948	-1.09206	-0.658997	0.0291168	1.40136	1.10142	-0.37299	-4.04494	-3.03475	-2.85789	-3.31959	-0.786182	-0.856261	-0.566195	-0.57497	
-3.30311	-2.5195	-3.74058	-4.56763	-2.53161	-2.20209	-2.65134	-2.51483	-2.50365	-1.38679	-2.43412	-2.02021	-3.68337	-2.02759	-2.49116	-4.53268	-1.95176	-1.08467	-1.45181	-2.07707	
-2.37692	-1.22971	-1.33786	-1.98242	-0.820966	-0.169034	-2.44417	-1.4603	-0.465742	-1.15172	-0.437905	-0.965548	-2.17002	-0.18696	-0.588269	-2.77989	0.870324	1.16402	0.263544	-0.0700688	
0.367846	0.746968	0.646537	0.174858	0.777588	0.840707	0.470922	0.579869	0.219042	0.69026	0.754279	0.341457	-0.372427	0.366008	-0.602904	-0.299945	-0.736937	-0.200412	-0.364396	-0.00531158	
0.13165	0.532414	0.0590359	0.0386485	0.209695	0.612714	0.37305	-0.832283	0.267713	1.0415	0.359072	0.519701	-0.307431	0.000244405	0.365251	-0.294576	1.2981	1.83185	2.32032	0.709363	
-0.447613	-1.67047	-2.35359	-0.914826	-1.62765	-0.804245	-2.36901	-1.26146	0.0395924	-1.21382	0.0302922	-0.0755584	0.702801	0.621889	-0.384713	1.89889	-0.751667	-0.0984373	0.0218658	-0.261119	
0.341853	-0.844526	-0.805453	-2.049	1.15551	-0.388188	0.284437	-0.452753	-0.151967	0.220371	0.762103	1.40524	-0.289886	-1.10896	0.2828	0.0479002	0.0732606	-0.0651445	0.0838519	-2.03769	
2.34793	1.17475	2.3133	1.47421	0.691063	0.82432	1.63304	0.895975	1.99761	1.46573	1.52567	0.960453	0.00972678	0.0550165	1.89587	0.289891	3.16808	3.19145	3.92103	4.49843	
1.45915	0.0360724	0.818127	-0.245478	-1.3214	-0.503112	-0.872865	-0.597166	-0.343199	-0.42229	-0.574118	-0.678474	-0.76289	-0.234604	-0.766737	-2.62418	1.39997	1.33175	0.969271	0.606542	
-1.88262	-2.30624	-1.54366	-4.21483	-1.87491	-0.688623	-1.75438	-2.0424	-1.5966	-0.0370656	-0.897207	-1.43091	-0.598444	-0.112123	-0.190001	0.240218	-1.60385	-1.39254	-0.509564	-2.45803	
0.29331	-0.443435	-1.3506	-1.61567	-0.258075	-4.54132	-1.31988	-4.39944	-0.546422	-5.5595	-0.709921	-1.42835	-1.73855	0.673123	-1.59515	0.864619	2.26466	1.37144	1.59739	-1.05132	
0.0168745	0.563461	0.0666631	1.10624	0.465919	1.04359	-0.035063	-0.385525	-0.184453	0.765174	0.531595	0.251394	0.243121	0.068135	1.33088	-0.148552	0.0823111	-0.0818861	-0.732306	-0.748	
0.12025	0.744025	0.344625	0.398012	1.00544	1.39654	1.38389	1.25236	-0.0832897	-0.26342	0.10243	0.116195	0.861852	0.69355	1.91874	0.766185	-0.115587	-0.156644	-0.461149	-0.145573	
2.25418	3.16385	2.44245	1.51219	0.318526	1.20187	-0.545997	-0.787745	0.89347	-0.252969	1.86245	0.92467	1.10697	1.38497	-0.0659635	-0.258474	0.19567	1.19761	0.25718	0.417046	
-0.377515	-0.0665013	-0.347488	-0.748533	-1.67571	0.691628	-0.678636	0.119701	0.619838	0.442567	0.66175	0.880981	0.512561	1.03114	0.168378	-0.389293	0.765767	0.24275	0.174496	0.676611	
0.322057	0.277118	-0.0154849	0.378825	-1.0122	0.463398	-0.615237	-0.521955	0.918488	1.02578	0.853177	0.655021	0.307946	0.193165	-0.305375	-0.743314	-1.77204	-0.981666	-1.56371	-1.68228	
1.34339	2.14862	1.49641	1.00615	0.294923	2.51117	0.696929	0.665777	0.74637	2.25534	1.19185	1.30729	0.333109	1.55194	1.27562	1.15464	1.81657	2.4838	1.8604	2.32398	
-2.92603	-2.50263	-2.58474	-3.49654	-4.22127	-1.73016	-1.67283	-2.3433	-2.24762	-3.1329	-2.31964	-2.74296	-3.48903	-3.11996	-1.52787	-2.49295	-1.37104	-1.49495	-0.40314	-0.522764	
0.31422	-0.17533	-0.966549	-0.572053	-1.46099	-0.312401	-2.22752	-0.118425	-0.977469	-0.458318	-0.119504	-0.504352	-0.775938	-0.116098	-1.44558	-2.76982	0.910743	0.49872	0.0450485	-0.204142	
-1.09455	-0.702848	-1.05369	-2.13407	0.038022	0.674498	-0.874006	0.561167	-2.16204	-1.73418	-1.60587	-3.78524	-1.0226	-2.83409	-2.50019	-4.06677	-0.700326	-0.392099	-0.501593	-0.912443	
0.408753	0.440501	0.371983	-0.842669	-2.24115	0.0649088	-1.22868	-1.37012	-0.144542	-0.0954032	0.335642	-1.2033	-0.443824	-0.243033	0.536904	0.221373	-0.305818	-0.405639	-0.691936	-2.16358	
1.8242	3.4622	3.20811	4.11587	3.14229	4.34506	1.44515	4.11249	4.07305	3.33218	2.33374	4.04468	1.64021	2.87176	3.87293	6.49635	1.69469	2.98155	1.03868	-0.892175	
