ons.statement_evaluation.prosody.CN_SNneg	ons.statement_evaluation.prosody.CN_SPneg	ons.statement_evaluation.prosody.CP_SNpos	ons.statement_evaluation.prosody.CP_SPpos	ons.statement_evaluation.semantic.CN_SNneg	ons.statement_evaluation.semantic.CN_SPneg	ons.statement_evaluation.semantic.CP_SNpos	ons.statement_evaluation.semantic.CP_SPpos	ons.statement_evaluation.irony.CN_SNneg	ons.statement_evaluation.irony.CN_SPneg	ons.statement_evaluation.irony.CP_SNpos	ons.statement_evaluation.irony.CP_SPpos	ons.statement_evaluation.sarcasm.CN_SNneg	ons.statement_evaluation.sarcasm.CN_SPneg	ons.statement_evaluation.sarcasm.CP_SNpos	ons.statement_evaluation.sarcasm.CP_SPpos	ons.statement_evaluation.tom.CN_SNneg	ons.statement_evaluation.tom.CN_SPneg	ons.statement_evaluation.tom.CP_SNpos	ons.statement_evaluation.tom.CP_SPpos	
0.468004	1.10199	1.1937	0.717709	0.574192	0.741035	0.961026	1.22538	2.08696	1.79723	1.32188	0.992887	0.273684	1.04332	1.03153	0.991635	0.164872	0.398011	0.718841	0.283209	
0.747752	1.56991	1.40865	0.492349	1.80329	2.89282	1.61204	2.33256	0.535278	0.58861	1.31995	1.00133	0.856553	0.446312	1.25409	0.903006	1.37356	0.837287	0.967244	1.11622	
1.18942	2.07309	1.70363	1.57597	1.86729	2.57909	2.00137	1.37168	1.56728	0.822017	1.31071	0.928531	0.458617	1.58983	1.61945	0.32077	0.419626	1.50257	1.39476	-0.496639	
0.17573	0.954522	0.356407	0.0804498	0.288257	0.680162	0.112444	0.287264	0.837373	1.54198	1.04555	1.05676	-0.375345	0.463289	0.199747	-0.015735	0.35171	0.549413	0.257873	0.560186	
-0.115189	0.688209	0.278279	-0.905698	-0.937327	0.342965	0.0482585	-0.775855	0.27741	-0.402196	0.470877	0.22237	0.610053	0.41494	-0.031946	-0.0812128	-1.15256	-0.385546	-0.627515	-2.68344	
0.442416	1.84353	1.5009	1.11331	0.793822	2.21319	1.51527	0.728654	0.701876	1.67461	1.602	-0.123439	0.747498	1.05964	1.28422	-0.63851	0.87864	1.48069	1.81643	0.662446	
0.365014	0.365709	0.0806205	-0.324896	1.27939	2.07665	1.03439	0.819121	0.270767	0.682517	0.451539	0.570628	-0.384656	0.0346519	0.350567	0.392049	0.150619	0.247746	0.149688	0.193608	
3.58867	0.467153	-0.0819342	0.047622	0.370743	0.683272	-0.35428	-0.905494	0.702111	0.326094	0.209622	0.0526781	-0.459536	0.40433	0.130981	-0.0241658	-0.419143	1.39765	0.408932	-0.141075	
1.04075	2.21161	2.38598	1.63185	1.85606	1.45439	1.97118	1.08732	1.18726	1.02309	1.18733	1.07327	1.525	1.16196	1.38229	0.966118	0.871886	0.401479	0.702341	0.856541	
0.9438	0.736444	0.48943	-0.186728	1.5612	0.658545	1.55617	0.201548	0.568051	1.29039	0.396665	1.86247	-0.354806	0.667895	0.368603	-0.0328176	-0.4518	-0.103701	-0.983041	-1.28426	
1.91065	2.31418	2.60823	1.62011	1.70176	2.25002	2.73249	1.41823	2.78108	1.87257	2.08961	2.08652	1.98841	1.08287	2.44619	2.08534	2.25792	1.83581	2.19239	2.25544	
2.33582	2.9079	3.16642	2.93083	2.61986	2.82	3.75676	2.21247	1.64981	2.46166	2.68343	1.83666	1.90315	1.90996	1.97489	1.13546	1.65392	1.36567	1.61198	2.28941	
1.64188	1.7107	1.72649	1.37158	1.04052	1.63818	1.13714	1.32772	0.569802	0.796929	1.42608	0.827362	0.778541	1.14712	1.25718	0.536926	1.04261	1.4682	1.0491	0.582303	
0.0439514	0.317779	1.1004	0.534445	0.70591	1.23496	2.84813	1.06422	0.270485	-0.220461	-0.199653	0.376233	0.467584	2.9075	2.3459	1.48064	1.66988	0.633511	-0.876937	-0.0550832	
-0.0580132	0.353527	-0.147562	-0.377362	0.463585	-0.226634	-0.265916	-0.21422	0.404703	0.47908	0.642765	0.28763	0.576275	-0.0126588	0.774262	-0.158778	-0.000647752	-0.356497	-0.460064	-0.435823	
1.39926	1.87606	2.08438	1.76672	0.874929	1.32914	1.90068	0.274019	0.124785	0.634588	0.735387	0.651585	1.73765	1.41281	2.09357	0.956469	-0.0526836	0.429786	0.286276	0.0594869	
-0.285009	1.85901	0.296714	0.845545	-0.703661	0.870342	1.06703	0.0663059	0.672923	0.475762	0.653848	-0.0665917	1.64101	1.74976	0.866196	-0.156033	0.182318	0.645571	0.158934	-0.738634	
0.203828	1.32149	0.991259	0.556798	0.647818	0.0862706	0.136592	0.0086948	0.210324	0.788159	1.29026	0.535869	1.25393	1.42558	0.720553	0.870255	0.589769	0.93204	0.0912425	-0.26174	
0.620846	1.9653	2.76986	1.47187	1.60975	2.32654	2.35341	0.830879	0.0786061	1.96056	2.15976	0.660059	0.589172	1.36352	1.12661	0.826917	0.564323	0.875559	1.05943	1.10794	
1.07794	1.29892	1.62953	0.359903	-0.0115955	0.257131	0.224862	-0.0646488	1.72565	1.21617	1.61501	0.996264	0.824513	0.955713	0.375468	1.36273	0.375752	1.12463	0.52587	0.127577	
-1.06428	-0.695285	-1.71604	-1.61765	-1.16527	-1.04032	-1.11305	-1.19553	-1.41085	-1.11621	-0.83468	-1.18218	-0.0269062	-0.127019	0.772302	-1.03332	-1.03552	-0.526117	-1.194	-1.46184	
1.2284	1.24602	1.55043	0.739074	-0.00197984	0.598173	0.09821	-0.563364	0.493798	0.353904	0.687379	1.05819	0.611166	0.836967	1.02364	0.54206	1.98423	2.23524	1.5458	1.41383	
-0.236831	0.235728	0.972337	0.0930697	1.49769	2.24019	1.17373	1.27905	2.81357	2.2879	1.78056	1.84369	1.85818	1.61477	1.65049	2.39988	2.07519	2.78609	2.44454	1.5761	
-0.412474	0.461596	0.593545	-1.58887	-0.600424	0.701283	0.253415	0.239722	-0.278335	-0.888324	-0.668503	-0.460399	-0.1844	-0.0185814	0.07327	0.275305	-0.401327	-0.0181068	-0.298464	-1.55437	
2.83295	2.50483	4.05251	1.61012	2.51681	2.45247	1.91386	2.40212	0.669006	-0.512421	2.67335	0.219879	0.00654302	-0.44881	0.321344	1.31055	-0.33468	-0.834419	-0.700526	-1.24926	
