subID	 genre	 age	 group	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Condition_code	 Evaluation_Score	 Validation_Type	 Evaluation_Score_2	 Validation_Type_2	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Onset_Evaluation2	 End_Evaluation2	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Real_Time_Onset_Evaluation2	 Time_End_Evaluation2	 RT2
13	2	20	2	semantic	2	CPf2_2.wav	SNposh1_2.wav	CP_SNpos	2	4	1	directvalide	NaN	NaN	1.6952	1.0129	f2	h1	0	1	2.6952	3.6952	4.708	5.708	9.708	NaN	NaN	0.016596	1.0179	2.7026	3.7039	4.7213	5.7226	8.3893	2.6667	NaN	NaN	NaN
13	2	20	2	semantic	2	CPh3_2.wav	SPnegh2_2.wav	CP_SPneg	2	4	5	valid	NaN	NaN	1.9234	1.4638	h3	h2	9.708	10.708	12.6315	13.6315	15.0953	16.0953	20.0953	NaN	NaN	9.71	10.7277	12.6459	13.6473	15.0983	16.0997	16.8371	0.73742	NaN	NaN	NaN
13	2	20	2	semantic	2	CNf4_8.wav	SPposh3_8.wav	CN_SPpos	8	5	4	valid	NaN	NaN	2.4726	1.0323	f4	h3	20.0953	21.0953	23.5679	24.5679	25.6002	26.6002	30.6002	NaN	NaN	20.1037	21.1047	23.5735	24.5749	25.6089	26.6102	28.6457	2.0354	NaN	NaN	NaN
13	2	20	2	semantic	2	CNf4_6.wav	SNposh4_6.wav	CN_SNpos	6	4	1	valid	NaN	NaN	2.8984	1.0257	f4	h4	30.6002	31.6002	34.4985	35.4985	36.5242	37.5242	41.5242	NaN	NaN	30.6142	31.6153	34.5011	35.5028	36.5364	37.5379	39.8215	2.2836	NaN	NaN	NaN
13	2	20	2	semantic	2	CNh2_8.wav	SPnegf4_8.wav	CN_SPneg	8	5	4	valid	NaN	NaN	2.1916	1.1029	h2	f4	41.5242	42.5242	44.7158	45.7158	46.8187	47.8187	51.8187	NaN	NaN	41.5419	42.5262	44.728	45.7295	46.8301	47.8316	49.0331	1.2015	NaN	NaN	NaN
13	2	20	2	semantic	2	CNf4_2.wav	SPposf1_2.wav	CN_SPpos	2	5	5	valid	NaN	NaN	2.2478	1.5529	f4	f1	51.8187	52.8187	55.0666	56.0666	57.6194	58.6194	62.6194	NaN	NaN	51.8355	52.8198	55.0718	56.0732	57.6245	58.6256	59.6298	1.0041	NaN	NaN	NaN
13	2	20	2	semantic	2	CNf4_7.wav	SNposh3_7.wav	CN_SNpos	7	4	1	valid	NaN	NaN	2.546	1.0444	f4	h3	62.6194	63.6194	66.1654	67.1654	68.2098	69.2098	73.2098	NaN	NaN	62.6297	63.6307	66.1664	67.1675	68.2181	69.2196	71.5018	2.2823	NaN	NaN	NaN
13	2	20	2	semantic	2	CPh3_7.wav	SNnegf4_7.wav	CP_SNneg	7	4	1	valid	NaN	NaN	1.8993	1.3953	h3	f4	73.2098	74.2098	76.109	77.109	78.5044	79.5044	83.5044	NaN	NaN	73.2235	74.2245	76.1261	77.1106	78.512	79.5133	80.7018	1.1885	NaN	NaN	NaN
13	2	20	2	semantic	2	CPh2_3.wav	SPposf4_3.wav	CP_SPpos	3	1	4	valid	NaN	NaN	1.8591	1.3697	h2	f4	83.5044	84.5044	86.3635	87.3635	88.7332	89.7332	93.7332	NaN	NaN	83.5172	84.5182	86.3698	87.3711	88.7389	89.7401	90.7179	0.97775	NaN	NaN	NaN
13	2	20	2	semantic	2	CPh3_5.wav	SPnegf3_5.wav	CP_SPneg	5	4	4	valid	NaN	NaN	2.3388	1.0739	h3	f3	93.7332	94.7332	97.0719	98.0719	99.1459	100.1459	104.1459	NaN	NaN	93.7441	94.7452	97.0806	98.0818	99.1491	100.1505	100.7981	0.64753	NaN	NaN	NaN
