subID	 genre	 age	 group	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Condition_code	 Evaluation_Score	 Validation_Type	 Evaluation_Score_2	 Validation_Type_2	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Onset_Evaluation2	 End_Evaluation2	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Real_Time_Onset_Evaluation2	 Time_End_Evaluation2	 RT2
21	1	30	2	sarcasm	1	CNf2_10.wav	SNposf1_10.wav	CN_SNpos	10	4	1	valid	1	valid	2.023	0.85769	f2	f1	0	1	3.023	4.023	4.8807	5.8807	9.8807	9.8807	13.8807	0.022764	1.007	3.0257	4.0268	4.8943	5.8953	9.0129	3.1176	9.8826	12.5727	2.69
21	1	30	2	sarcasm	1	CPf3_9.wav	SNposh2_9.wav	CP_SNpos	9	4	3	valid	1	valid	2.1912	1.1995	f3	h2	13.8807	14.8807	17.0718	18.0718	19.2713	20.2713	24.2713	24.2713	28.2713	13.8869	14.8876	17.0731	18.0741	19.2754	20.2763	23.1483	2.8719	24.2803	25.9324	1.652
21	1	30	2	sarcasm	1	CPh4_11.wav	SNnegf1_11.wav	CP_SNneg	11	4	4	valid	2	nonvalid	3.026	0.84263	h4	f1	28.2713	29.2713	32.2973	33.2973	34.14	35.14	39.14	39.14	43.14	28.2844	29.2853	32.305	33.306	34.1568	35.1412	39.012	3.8708	39.1785	NaN	NaN
21	1	30	2	sarcasm	1	CNf3_15.wav	SNnegh3_15.wav	CN_SNneg	15	1	5	valid	1	directvalide	2.2024	1.0162	f3	h3	43.14	44.14	46.3424	47.3424	48.3585	49.3585	53.3585	53.3585	57.3585	43.1491	44.1502	46.3524	47.3533	48.371	49.372	51.9085	2.5365	53.3593	54.8208	1.4615
21	1	30	2	sarcasm	1	CNf4_13.wav	SPposh1_13.wav	CN_SPpos	13	5	4	valid	1	valid	2.5701	0.73794	f4	h1	57.3585	58.3585	60.9286	61.9286	62.6666	63.6666	67.6666	67.6666	71.6666	57.3634	58.3643	60.9335	61.9345	62.6686	63.6697	66.3627	2.693	67.6736	71.0287	3.3552
21	1	30	2	sarcasm	1	CPh2_9.wav	SPposh3_9.wav	CP_SPpos	9	1	2	valid	1	valid	1.9802	1.3226	h2	h3	71.6666	72.6666	74.6467	75.6467	76.9693	77.9693	81.9693	81.9693	85.9693	71.6777	72.6787	74.6473	75.6483	76.9829	77.984	80.5164	2.5323	81.9713	83.6445	1.6732
21	1	30	2	sarcasm	1	CPh4_13.wav	SNnegh1_13.wav	CP_SNneg	13	4	1	valid	1	valid	1.8935	0.81029	h4	h1	85.9693	86.9693	88.8629	89.8629	90.6732	91.6732	95.6732	95.6732	99.6732	85.9751	86.9766	88.8781	89.8795	90.6799	91.681	94.029	2.348	95.6849	97.1485	1.4636
21	1	30	2	sarcasm	1	CNh4_10.wav	SNnegf3_10.wav	CN_SNneg	10	1	1	directvalide	3	directvalide	2.1066	0.93424	h4	f3	99.6732	100.6732	102.7798	103.7798	104.714	105.714	109.714	109.714	113.714	99.689	100.6902	102.792	103.793	104.7272	105.7282	106.6767	0.94843	109.7157	109.7806	0.064964
21	1	30	2	sarcasm	1	CNf1_9.wav	SNposh1_9.wav	CN_SNpos	9	4	2	directvalide	1	valid	2.1994	0.95016	f1	h1	113.714	114.714	116.9134	117.9134	118.8636	119.8636	123.8636	123.8636	127.8636	113.7196	114.7206	116.9227	117.9237	118.8747	119.8756	121.4288	1.5531	123.8798	124.9887	1.1089
21	1	30	2	sarcasm	1	CNf3_11.wav	SNposh3_11.wav	CN_SNpos	11	4	1	valid	1	directvalide	2.2024	0.79438	f3	h3	127.8636	128.8636	131.066	132.066	132.8603	133.8603	137.8603	137.8603	141.8603	127.867	128.8681	131.0702	132.0712	132.872	133.8733	135.3808	1.5075	137.877	138.8284	0.9514
21	1	30	2	sarcasm	1	CPh3_14.wav	SPnegf3_14.wav	CP_SPneg	14	4	1	valid	1	valid	2.0404	1.071	h3	f3	141.8603	142.8603	144.9007	145.9007	146.9717	147.9717	151.9717	151.9717	155.9717	141.8644	142.8655	144.9174	145.9017	146.9861	147.9874	150.1165	2.1291	151.9745	153.3568	1.3823
