subID	 genre	 age	 group	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Condition_code	 Evaluation_Score	 Validation_Type	 Evaluation_Score_2	 Validation_Type_2	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Onset_Evaluation2	 End_Evaluation2	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Real_Time_Onset_Evaluation2	 Time_End_Evaluation2	 RT2
32	1	20	1	sarcasm	2	CNf3_4.wav	SPposf2_4.wav	CN_SPpos	4	5	5	valid	4	valid	2.0373	1.2019	f3	f2	0	1	3.0373	4.0373	5.2392	6.2392	10.2392	10.2392	14.2392	0.028092	1.0126	3.0476	4.0488	5.2498	6.2512	8.8079	2.5567	10.2552	13.7359	3.4806
32	1	20	1	sarcasm	2	CNh2_7.wav	SNposh1_7.wav	CN_SNpos	7	4	5	valid	5	valid	2.3136	0.97909	h2	h1	14.2392	15.2392	17.5528	18.5528	19.5319	20.5319	24.5319	24.5319	28.5319	14.2425	15.2435	17.5621	18.5634	19.5474	20.5488	24.0959	3.5471	24.5361	27.7278	3.1917
32	1	20	1	sarcasm	2	CNf4_2.wav	SNposh3_2.wav	CN_SNpos	2	4	3	valid	3	valid	2.2478	1.1008	f4	h3	28.5319	29.5319	31.7797	32.7797	33.8806	34.8806	38.8806	38.8806	42.8806	28.5401	29.5411	31.793	32.7942	33.895	34.8962	37.7924	2.8961	38.8838	42.352	3.4682
32	1	20	1	sarcasm	2	CNh2_3.wav	SPposh3_3.wav	CN_SPpos	3	5	5	directvalide	4	valid	2.7649	1.125	h2	h3	42.8806	43.8806	46.6455	47.6455	48.7705	49.7705	53.7705	53.7705	57.7705	42.8878	43.8887	46.6578	47.6592	48.7765	49.7775	51.72	1.9425	53.7819	56.3204	2.5385
32	1	20	1	sarcasm	2	CNh4_6.wav	SNnegf4_6.wav	CN_SNneg	6	1	1	valid	3	valid	2.7529	1.0978	h4	f4	57.7705	58.7705	61.5234	62.5234	63.6212	64.6212	68.6212	68.6212	72.6212	57.786	58.7871	61.5394	62.5407	63.6247	64.6261	65.9958	1.3697	68.6301	71.6444	3.0143
32	1	20	1	sarcasm	2	CNf3_3.wav	SPnegf1_3.wav	CN_SPneg	3	5	5	valid	4	directvalide	2.8553	1.1315	f3	f1	72.6212	73.6212	76.4765	77.4765	78.608	79.608	83.608	83.608	87.608	72.634	73.6351	76.4876	77.489	78.623	79.6244	81.0095	1.385	83.6118	85.1445	1.5327
32	1	20	1	sarcasm	2	CPf4_3.wav	SNposf1_3.wav	CP_SNpos	3	4	1	valid	5	valid	2.1392	1.1496	f4	f1	87.608	88.608	90.7472	91.7472	92.8968	93.8968	97.8968	97.8968	101.8968	87.6158	88.6167	90.7519	91.7533	92.904	93.9054	95.7519	1.8466	97.9094	99.632	1.7226
32	1	20	1	sarcasm	2	CPh1_2.wav	SNposf3_2.wav	CP_SNpos	2	4	4	valid	3	valid	1.471	1.1631	h1	f3	101.8968	102.8968	104.3678	105.3678	106.5309	107.5309	111.5309	111.5309	115.5309	101.9134	102.9143	104.3821	105.3835	106.5343	107.5352	111.2724	3.7372	111.5392	114.8565	3.3173
32	1	20	1	sarcasm	2	CPh3_6.wav	SPposf2_6.wav	CP_SPpos	6	1	1	valid	1	nonvalid	2.0128	1.0246	h3	f2	115.5309	116.5309	118.5437	119.5437	120.5682	121.5682	125.5682	125.5682	129.5682	115.5433	116.5444	118.5466	119.5477	120.5815	121.583	123.9125	2.3294	125.5703	NaN	NaN
32	1	20	1	sarcasm	2	CNh2_8.wav	SNposh4_8.wav	CN_SNpos	8	4	1	valid	5	directvalide	2.1916	1.0156	h2	h4	129.5682	130.5682	132.7598	133.7598	134.7754	135.7754	139.7754	139.7754	143.7754	129.6908	130.5753	132.7774	133.7618	134.7794	135.7805	136.8719	1.0914	139.7845	140.7925	1.008
32	1	20	1	sarcasm	2	CPf3_4.wav	SNnegh4_4.wav	CP_SNneg	4	4	1	valid	3	valid	2.5889	1.2268	f3	h4	143.7754	144.7754	147.3643	148.3643	149.5911	150.5911	154.5911	154.5911	158.5911	143.7885	144.7895	147.375	148.3762	149.594	150.5954	152.0562	1.4608	154.5993	155.9042	1.3049
32	1	20	1	sarcasm	2	CNf2_8.wav	SPposh3_8.wav	CN_SPpos	8	5	5	valid	4	valid	2.2155	1.0323	f2	h3	158.5911	159.5911	161.8066	162.8066	163.8389	164.8389	168.8389	168.8389	172.8389	158.6032	159.6042	161.8228	162.8241	163.8415	164.843	166.5523	1.7094	168.8469	171.6881	2.8413
32	1	20	1	sarcasm	2	CNh2_1.wav	SNnegf3_1.wav	CN_SNneg	1	1	1	valid	3	valid	2.1835	1.1892	h2	f3	172.8389	173.8389	176.0223	177.0223	178.2115	179.2115	183.2115	183.2115	187.2115	172.8509	173.8519	176.0372	177.0384	178.2225	179.2238	180.6403	1.4166	183.2277	185.6004	2.3727
